@timestamp,agent.hostname,source.ip,source.port,destination.ip,destination.port,network.transport,network.packets,destination.bytes,source.bytes,bytes_in,bytes_out,Technique
"Sep 29, 2022 @ 13:35:30.017",webserver0logs,192.168.91.128,58680,192.168.91.1,2,tcp,1,0,74,0,0,1
"Oct 24, 2022 @ 13:26:30.002",dbserver,10.0.0.20,36488,10.0.0.21,3,0,2,56,76,0,0,0
"Oct 24, 2022 @ 13:26:30.002",webserver,10.0.0.20,36488,10.0.0.21,3,0,2,56,76,0,0,0
"Sep 29, 2022 @ 13:31:20.014",webserver0logs,192.168.91.128,35518,192.168.91.1,3,tcp,1,0,74,0,0,1
"Sep 29, 2022 @ 13:31:20.014",webserver0logs,192.168.91.128,35518,192.168.91.1,3,tcp,1,0,74,0,0,1
"Sep 29, 2022 @ 13:31:30.024",webserver0logs,192.168.91.128,35518,192.168.91.1,3,tcp,1,0,74,0,0,1
"Sep 29, 2022 @ 13:31:30.024",webserver0logs,192.168.91.128,35518,192.168.91.1,3,tcp,1,0,74,0,0,1
"Sep 29, 2022 @ 13:31:40.017",webserver0logs,192.168.91.128,35518,192.168.91.1,3,tcp,1,0,74,0,0,1
"Sep 29, 2022 @ 13:31:40.017",webserver0logs,192.168.91.128,35518,192.168.91.1,3,tcp,1,0,74,0,0,1
"Sep 29, 2022 @ 13:31:50.019",webserver0logs,192.168.91.128,35518,192.168.91.1,3,tcp,1,0,74,0,0,1
"Sep 29, 2022 @ 13:31:50.019",webserver0logs,192.168.91.128,35518,192.168.91.1,3,tcp,1,0,74,0,0,1
"Sep 29, 2022 @ 13:32:00.019",webserver0logs,192.168.91.128,35518,192.168.91.1,3,tcp,1,0,74,0,0,1
"Sep 29, 2022 @ 13:32:00.019",webserver0logs,192.168.91.128,35518,192.168.91.1,3,tcp,1,0,74,0,0,1
"Sep 29, 2022 @ 13:35:30.017",webserver0logs,192.168.91.128,35520,192.168.91.1,3,tcp,1,0,74,0,0,1
"Sep 29, 2022 @ 13:35:30.017",webserver0logs,192.168.91.128,35520,192.168.91.1,3,tcp,1,0,74,0,0,1
"Oct 24, 2022 @ 13:26:30.002",webserver,10.0.0.20,50082,10.0.0.21,4,0,2,56,76,0,0,0
"Oct 24, 2022 @ 13:26:30.002",dbserver,10.0.0.20,50082,10.0.0.21,4,0,2,56,76,0,0,0
"Sep 29, 2022 @ 13:31:20.014",webserver0logs,192.168.91.128,59192,192.168.91.1,4,tcp,1,0,74,0,0,1
"Sep 29, 2022 @ 13:31:20.014",webserver0logs,192.168.91.128,59192,192.168.91.1,4,tcp,1,0,74,0,0,1
"Sep 29, 2022 @ 13:31:30.024",webserver0logs,192.168.91.128,59192,192.168.91.1,4,tcp,1,0,74,0,0,1
"Sep 29, 2022 @ 13:31:30.024",webserver0logs,192.168.91.128,59192,192.168.91.1,4,tcp,1,0,74,0,0,1
"Sep 29, 2022 @ 13:31:40.017",webserver0logs,192.168.91.128,59192,192.168.91.1,4,tcp,1,0,74,0,0,1
"Sep 29, 2022 @ 13:31:40.017",webserver0logs,192.168.91.128,59192,192.168.91.1,4,tcp,1,0,74,0,0,1
"Sep 29, 2022 @ 13:31:50.019",webserver0logs,192.168.91.128,59192,192.168.91.1,4,tcp,1,0,74,0,0,1
"Sep 29, 2022 @ 13:31:50.019",webserver0logs,192.168.91.128,59192,192.168.91.1,4,tcp,1,0,74,0,0,1
"Sep 29, 2022 @ 13:32:00.019",webserver0logs,192.168.91.128,59192,192.168.91.1,4,tcp,1,0,74,0,0,1
"Sep 29, 2022 @ 13:32:00.019",webserver0logs,192.168.91.128,59192,192.168.91.1,4,tcp,1,0,74,0,0,1
"Sep 29, 2022 @ 13:35:30.017",webserver0logs,192.168.91.128,59196,192.168.91.1,4,tcp,1,0,74,0,0,1
"Sep 29, 2022 @ 13:35:30.017",webserver0logs,192.168.91.128,59196,192.168.91.1,4,tcp,1,0,74,0,0,1
"Oct 24, 2022 @ 13:26:30.002",dbserver,10.0.0.20,60058,10.0.0.21,5,0,2,56,76,0,0,0
"Oct 24, 2022 @ 13:26:30.002",webserver,10.0.0.20,60058,10.0.0.21,5,0,2,56,76,0,0,0
"Sep 29, 2022 @ 13:31:20.014",webserver0logs,192.168.91.128,53256,192.168.91.1,5,tcp,1,0,74,0,0,1
"Sep 29, 2022 @ 13:31:20.014",webserver0logs,192.168.91.128,53256,192.168.91.1,5,tcp,1,0,74,0,0,1
"Sep 29, 2022 @ 13:31:30.024",webserver0logs,192.168.91.128,53256,192.168.91.1,5,tcp,1,0,74,0,0,1
"Sep 29, 2022 @ 13:31:30.024",webserver0logs,192.168.91.128,53256,192.168.91.1,5,tcp,1,0,74,0,0,1
"Sep 29, 2022 @ 13:31:40.017",webserver0logs,192.168.91.128,53256,192.168.91.1,5,tcp,1,0,74,0,0,1
"Sep 29, 2022 @ 13:31:40.017",webserver0logs,192.168.91.128,53256,192.168.91.1,5,tcp,1,0,74,0,0,1
"Sep 29, 2022 @ 13:31:50.019",webserver0logs,192.168.91.128,53256,192.168.91.1,5,tcp,1,0,74,0,0,1
"Sep 29, 2022 @ 13:31:50.019",webserver0logs,192.168.91.128,53256,192.168.91.1,5,tcp,1,0,74,0,0,1
"Sep 29, 2022 @ 13:32:00.019",webserver0logs,192.168.91.128,53256,192.168.91.1,5,tcp,1,0,74,0,0,1
"Sep 29, 2022 @ 13:32:00.019",webserver0logs,192.168.91.128,53256,192.168.91.1,5,tcp,1,0,74,0,0,1
"Sep 29, 2022 @ 13:35:30.017",webserver0logs,192.168.91.128,53260,192.168.91.1,5,tcp,1,0,74,0,0,1
"Sep 29, 2022 @ 13:35:30.017",webserver0logs,192.168.91.128,53260,192.168.91.1,5,tcp,1,0,74,0,0,1
"Oct 24, 2022 @ 13:26:30.002",dbserver,10.0.0.20,59896,10.0.0.21,6,0,2,56,76,0,0,0
"Oct 24, 2022 @ 13:26:30.002",webserver,10.0.0.20,59896,10.0.0.21,6,0,2,56,76,0,0,0
"Sep 29, 2022 @ 13:31:30.024",webserver0logs,192.168.91.128,39868,192.168.91.1,6,tcp,1,0,74,0,0,1
"Sep 29, 2022 @ 13:31:30.024",webserver0logs,192.168.91.128,39868,192.168.91.1,6,tcp,1,0,74,0,0,1
"Sep 29, 2022 @ 13:31:40.017",webserver0logs,192.168.91.128,39868,192.168.91.1,6,tcp,1,0,74,0,0,1
"Sep 29, 2022 @ 13:31:40.017",webserver0logs,192.168.91.128,39868,192.168.91.1,6,tcp,1,0,74,0,0,1
"Sep 29, 2022 @ 13:31:50.019",webserver0logs,192.168.91.128,39868,192.168.91.1,6,tcp,1,0,74,0,0,1
"Sep 29, 2022 @ 13:31:50.019",webserver0logs,192.168.91.128,39868,192.168.91.1,6,tcp,1,0,74,0,0,1
"Sep 29, 2022 @ 13:32:00.019",webserver0logs,192.168.91.128,39868,192.168.91.1,6,tcp,1,0,74,0,0,1
"Sep 29, 2022 @ 13:32:00.019",webserver0logs,192.168.91.128,39868,192.168.91.1,6,tcp,1,0,74,0,0,1
"Sep 29, 2022 @ 13:35:30.017",webserver0logs,192.168.91.128,39870,192.168.91.1,6,tcp,1,0,74,0,0,1
"Sep 29, 2022 @ 13:35:30.017",webserver0logs,192.168.91.128,39870,192.168.91.1,6,tcp,1,0,74,0,0,1
"Oct 24, 2022 @ 13:26:30.002",dbserver,10.0.0.20,44594,10.0.0.21,7,0,2,56,76,0,0,0
"Oct 24, 2022 @ 13:26:30.002",webserver,10.0.0.20,44594,10.0.0.21,7,0,2,56,76,0,0,0
"Sep 29, 2022 @ 13:31:30.024",webserver0logs,192.168.91.128,34174,192.168.91.1,7,tcp,1,0,74,0,0,1
"Sep 29, 2022 @ 13:31:30.024",webserver0logs,192.168.91.128,34174,192.168.91.1,7,tcp,1,0,74,0,0,1
"Sep 29, 2022 @ 13:31:40.017",webserver0logs,192.168.91.128,34174,192.168.91.1,7,tcp,1,0,74,0,0,1
"Sep 29, 2022 @ 13:31:40.017",webserver0logs,192.168.91.128,34174,192.168.91.1,7,tcp,1,0,74,0,0,1
"Sep 29, 2022 @ 13:31:50.019",webserver0logs,192.168.91.128,34174,192.168.91.1,7,tcp,1,0,74,0,0,1
"Sep 29, 2022 @ 13:31:50.019",webserver0logs,192.168.91.128,34174,192.168.91.1,7,tcp,1,0,74,0,0,1
"Sep 29, 2022 @ 13:32:00.019",webserver0logs,192.168.91.128,34174,192.168.91.1,7,tcp,1,0,74,0,0,1
"Sep 29, 2022 @ 13:32:00.019",webserver0logs,192.168.91.128,34174,192.168.91.1,7,tcp,1,0,74,0,0,1
"Sep 29, 2022 @ 13:35:30.017",webserver0logs,192.168.91.128,34176,192.168.91.1,7,tcp,1,0,74,0,0,1
"Sep 29, 2022 @ 13:35:30.017",webserver0logs,192.168.91.128,34176,192.168.91.1,7,tcp,1,0,74,0,0,1
"Oct 24, 2022 @ 13:26:30.002",dbserver,10.0.0.20,48210,10.0.0.21,8,0,2,56,76,0,0,0
"Oct 24, 2022 @ 13:26:30.002",webserver,10.0.0.20,48210,10.0.0.21,8,0,2,56,76,0,0,0
"Sep 29, 2022 @ 13:31:30.024",webserver0logs,192.168.91.128,50444,192.168.91.1,8,tcp,1,0,74,0,0,1
"Sep 29, 2022 @ 13:31:30.024",webserver0logs,192.168.91.128,50444,192.168.91.1,8,tcp,1,0,74,0,0,1
