,Unnamed: 0,event.start,event.end,@timestamp,agent.ephemeral_id,destination.bytes,destination.ip,destination.mac,destination.packets,destination.port,event.duration,event.type,flow.final,flow.id,host.ip,host.mac,network.bytes,network.community_id,network.packets,network.transport,network.type,source.bytes,source.ip,source.mac,source.packets,source.port,Binary
691,517,138,131,15,0,0,0,0,0,10,0,0,0,143,1,1,0,10,0,0,0,0,0,0,0,378,1
692,378,109,103,6,0,0,0,0,0,159,0,0,0,71,1,1,0,139,0,0,0,0,0,0,0,527,1
693,596,153,148,29,0,1,0,0,1,378,81,0,0,137,1,1,1,29,1,0,0,0,0,0,0,127,0
694,48,35,34,0,0,0,0,0,0,85,7,0,0,96,1,1,2,105,1,0,0,1,0,0,1,7,1
695,596,153,148,29,0,1,0,0,1,206,112,0,0,137,1,1,1,29,1,0,0,0,0,0,0,391,0
696,596,153,148,29,0,1,0,0,1,264,93,0,0,137,1,1,1,29,1,0,0,0,0,0,0,5,0
697,596,153,148,29,0,4,0,0,3,434,31,0,0,137,1,1,7,29,1,0,0,0,0,0,2,428,0
698,310,93,88,6,0,0,0,0,0,143,0,0,0,142,1,1,0,78,0,0,0,0,0,0,0,121,1
699,596,153,148,29,0,1,0,0,1,355,77,0,0,137,1,1,1,29,1,0,0,0,0,0,0,181,0
700,596,153,148,29,0,1,0,0,1,54,89,0,0,137,1,1,1,29,1,0,0,0,0,0,0,99,0
701,437,129,122,16,0,0,0,0,0,1,0,1,1,37,1,1,0,34,0,0,0,0,0,0,0,555,1
702,596,153,148,29,0,1,0,0,1,66,16,0,0,137,1,1,1,29,1,0,0,0,0,0,0,406,0
703,596,153,148,29,0,1,0,0,1,192,62,0,0,137,1,1,1,29,1,0,0,0,0,0,0,305,0
704,596,153,148,29,0,1,0,0,1,63,154,0,0,137,1,1,1,29,1,0,0,0,0,0,0,205,0
705,579,145,140,29,0,0,0,0,0,2,0,0,0,115,1,1,0,76,0,0,0,0,0,0,0,53,1
706,596,153,148,29,0,1,0,0,1,317,58,0,0,137,1,1,1,29,1,0,0,0,0,0,0,306,0
707,218,73,69,5,0,0,0,0,0,123,0,0,0,56,1,1,0,38,0,0,0,0,0,0,0,397,1
