,Unnamed: 0,destination.bytes,destination.packets,event.duration,network.bytes,network.packets,source.bytes,source.packets,Binary
139,794,56,1,7710.0,132,2,74,1,0
140,794,56,1,8920.0,132,2,74,1,0
141,794,56,1,6240.0,132,2,74,1,0
142,77,0,0,0.0,74,1,74,1,1
143,633,0,0,0.0,74,1,74,1,0
144,312,0,0,0.0,74,1,74,1,1
145,794,56,1,8630.0,132,2,74,1,0
146,138,0,0,0.0,74,1,74,1,1
147,290,0,0,0.0,74,1,74,1,1
148,122,0,0,0.0,74,1,74,1,1
149,256,0,0,0.0,74,1,74,1,1
150,310,0,0,0.0,74,1,74,1,1
151,589,0,0,0.0,74,1,74,1,1
152,794,56,1,7330.0,132,2,74,1,0
153,794,56,1,6830.0,132,2,74,1,0
154,192,0,0,0.0,74,1,74,1,1
155,186,0,0,0.0,74,1,74,1,1
156,794,56,1,11080.0,132,2,74,1,0
157,794,56,1,6140.0,132,2,74,1,0
158,794,56,1,8700.0,132,2,74,1,0
159,160,0,0,0.0,74,1,74,1,1
160,419,0,0,0.0,74,1,74,1,1
161,794,56,1,7420.0,132,2,74,1,0
162,794,56,1,9020.0,132,2,74,1,0
163,479,0,0,0.0,74,1,74,1,1
164,670,0,0,0.0,74,1,74,1,1
165,794,56,1,6340.0,132,2,74,1,0
166,282,0,0,0.0,74,1,74,1,1
167,794,56,1,6230.0,132,2,74,1,0
168,328,0,0,0.0,74,1,74,1,1
169,144,0,0,0.0,74,1,74,1,1
170,218,0,0,1014320000.0,148,2,148,2,1
171,402,0,0,0.0,74,1,74,1,1
172,140,0,0,0.0,74,1,74,1,1
173,794,56,1,8680.0,132,2,74,1,0
174,794,56,1,6490.0,132,2,74,1,0
175,370,0,0,0.0,74,1,74,1,1
176,520,0,0,63780419600.0,518,7,518,7,1
177,452,0,0,0.0,74,1,74,1,1
178,138,0,0,0.0,74,1,74,1,1
179,381,0,0,0.0,74,1,74,1,1
180,794,56,1,6370.0,132,2,74,1,0
181,794,56,1,12800.0,132,2,74,1,0
182,669,0,0,0.0,74,1,74,1,1
183,659,0,0,1026257300.0,148,2,148,2,1
184,408,0,0,0.0,74,1,74,1,1
185,275,0,0,0.0,74,1,74,1,1
186,794,56,1,7370.0,132,2,74,1,0
187,136,0,0,0.0,74,1,74,1,1
188,273,0,0,0.0,74,1,74,1,1
189,291,0,0,0.0,74,1,74,1,1
190,271,0,0,0.0,74,1,74,1,1
191,217,0,0,1014320000.0,148,2,148,2,1
192,168,0,0,1021578700.0,148,2,148,2,1
193,76,0,0,0.0,74,1,74,1,1
194,78,0,0,0.0,74,1,74,1,1
195,794,56,1,6380.0,132,2,74,1,0
196,615,0,0,0.0,74,1,74,1,1
197,196,0,0,0.0,74,1,74,1,1
198,794,56,1,8220.0,132,2,74,1,0
199,794,56,1,6350.0,132,2,74,1,0
200,794,56,1,6640.0,132,2,74,1,0
201,126,0,0,1011414100.0,148,2,148,2,1
202,508,0,0,0.0,74,1,74,1,1
203,474,0,0,0.0,74,1,74,1,1
204,794,56,1,6340.0,132,2,74,1,0
205,794,56,1,6360.0,132,2,74,1,0
206,462,0,0,0.0,74,1,74,1,1
207,490,0,0,0.0,74,1,74,1,1
208,794,56,1,6340.0,132,2,74,1,0
209,457,0,0,0.0,74,1,74,1,0
210,654,0,0,0.0,74,1,74,1,1
211,794,56,1,6440.0,132,2,74,1,0
212,84,0,0,0.0,74,1,74,1,1
213,132,0,0,0.0,74,1,74,1,1
214,441,0,0,0.0,74,1,74,1,1
215,403,0,0,0.0,74,1,74,1,1
216,794,56,1,7020.0,132,2,74,1,0
217,475,0,0,0.0,74,1,74,1,1
218,595,0,0,0.0,74,1,74,1,1
219,592,0,0,0.0,74,1,74,1,0
220,794,56,1,6440.0,132,2,74,1,0
221,286,0,0,0.0,74,1,74,1,1
222,553,0,0,0.0,74,1,74,1,1
223,664,0,0,1026257300.0,148,2,148,2,0
224,794,56,1,8620.0,132,2,74,1,0
225,794,56,1,6420.0,132,2,74,1,0
226,794,56,1,6530.0,132,2,74,1,0
227,435,0,0,0.0,74,1,74,1,1
228,794,56,1,6240.0,132,2,74,1,0
229,794,56,1,7960.0,132,2,74,1,0
230,794,56,1,6400.0,132,2,74,1,0
231,603,0,0,0.0,74,1,74,1,1
232,89,0,0,0.0,74,1,74,1,1
233,266,0,0,0.0,74,1,74,1,0
234,467,0,0,0.0,74,1,74,1,1
235,794,56,1,8160.0,132,2,74,1,0
236,364,0,0,0.0,74,1,74,1,1
237,661,0,0,1026257300.0,148,2,148,2,1
238,731,0,0,64707347900.0,518,7,518,7,1
239,127,0,0,1011414100.0,148,2,148,2,1
240,784,0,0,0.0,74,1,74,1,1
241,449,0,0,0.0,74,1,74,1,1
242,794,56,1,6880.0,132,2,74,1,0
243,579,0,0,0.0,74,1,74,1,1
244,794,56,1,7420.0,132,2,74,1,0
245,794,56,1,8410.0,132,2,74,1,0
246,794,56,1,7950.0,132,2,74,1,0
247,182,0,0,0.0,74,1,74,1,1
248,604,0,0,0.0,74,1,74,1,1
249,610,0,0,0.0,74,1,74,1,1
250,336,0,0,0.0,74,1,74,1,1
251,440,0,0,0.0,74,1,74,1,1
252,794,56,1,6220.0,132,2,74,1,0
253,794,56,1,6490.0,132,2,74,1,0
254,782,0,0,0.0,74,1,74,1,1
255,342,0,0,0.0,74,1,74,1,1
256,715,0,0,64707347900.0,518,7,518,7,1
257,794,56,1,9060.0,132,2,74,1,0
258,259,0,0,0.0,74,1,74,1,1
259,794,56,1,6400.0,132,2,74,1,0
260,794,56,1,6510.0,132,2,74,1,0
261,794,56,1,8010.0,132,2,74,1,0
262,413,0,0,0.0,74,1,74,1,1
